city,site,event,attendanceRate
Lima,Mercy Health Thrift,,0.002
Lima,Habitat For Humanity,,0.002
Lima,Our Daily Bread,,0.002
Lima,St. Markâ€™s Methodist,Community Meal,0.002
St. Marys,Agape Minstries,,0.002
Lima,Christian Corner Community Center,,0.002
Alger,Community Center,Food Commodities,0.002
Kenton,Seton Hall,,0.002
Dunkirk,HN Community Center,Community Meal,0.002
Kenton,Hardincrest,,0.002
Kenton,YMCA,,0.002
Alger,Community Center ,Community Dinner,0.002
Bluffton,Bluffton Public Library,,0.002
St. Marys,Public Library,,0.002
Elida,Public Library,,0.002
Cairo,Public Library,,0.002
Delphos,Public Library,,0.002
Ada,Public Library,,0.002
Mount Victory,Public Library,,0.002
Forest,Public Library,,0.002